Accuracy,f1-score,Precision,Recall
0.6634615385,0.6788990826,0.6607142857,0.6981132075
0.6538461538,0.6538461538,0.6666666667,0.641509434
0.6057692308,0.6306306306,0.6034482759,0.6603773585
0.6538461538,0.6842105263,0.6393442623,0.7358490566
0.6796116505,0.6796116505,0.7,0.6603773585
0.7475728155,0.7592592593,0.7454545455,0.7735849057
0.6601941748,0.6391752577,0.7045454545,0.5849056604
0.7669902913,0.7735849057,0.7735849057,0.7735849057
0.7281553398,0.7627118644,0.6923076923,0.8490566038
0.6310679612,0.6666666667,0.6229508197,0.7169811321
